CE,FA_C,FA_DB,FA_iso,sn_y,norm_Intensity,norm_Intensity_var
63,12,0,0,1,4.058636489,0.115902419
64,12,0,0,1,3.592421233,0.097972911
65,12,0,0,1,3.482612278,0.101554923
66,12,0,0,1,2.459293544,0.078481085
67,12,0,0,1,2.333122989,0.068733428
68,12,0,0,1,1.958481233,0.047230831
69,12,0,0,1,1.6117623,0.026542749
70,12,0,0,1,1.302417044,0.039901686
11,14,0,0,1,4.139333236,0.129297123
12,14,0,0,1,5.326651857,0.081586242
13,14,0,0,1,6.876137636,0.149312973
14,14,0,0,1,9.449560464,0.292452914
15,14,0,0,1,12.35744314,0.852669599
16,14,0,0,1,15.91689736,1.087381007
17,14,0,0,1,20.66109707,1.866858459
18,14,0,0,1,27.50267664,1.728655067
19,14,0,0,1,31.64583343,3.689537056
20,14,0,0,1,37.87472014,3.749655114
21,14,0,0,1,42.68577357,6.23523551
22,14,0,0,1,46.7825325,7.376196561
23,14,0,0,1,52.46593679,11.01783705
24,14,0,0,1,55.97040836,6.338798444
25,14,0,0,1,59.34419514,8.308041444
26,14,0,0,1,62.17197771,10.99814997
27,14,0,0,1,60.97024307,12.41224884
28,14,0,0,1,59.737455,13.37381102
29,14,0,0,1,60.47893543,4.919836824
30,14,0,0,1,60.15819007,12.36549771
31,14,0,0,1,59.0458905,7.112456411
32,14,0,0,1,58.4764175,5.452765835
33,14,0,0,1,59.19018836,8.939780044
34,14,0,0,1,55.87656064,6.564308856
35,14,0,0,1,55.3316105,8.621960352
36,14,0,0,1,51.78815257,6.603343477
37,14,0,0,1,49.96203993,9.582535526
38,14,0,0,1,48.63656121,6.967806628
39,14,0,0,1,46.09741536,4.26724973
40,14,0,0,1,44.77249964,5.79952132
41,14,0,0,1,42.15859686,6.189831237
42,14,0,0,1,39.64290407,2.658158835
43,14,0,0,1,35.72974671,1.407831489
44,14,0,0,1,33.47651536,3.77537471
45,14,0,0,1,31.42308936,3.834149875
46,14,0,0,1,28.91251143,1.016484862
47,14,0,0,1,26.32236157,1.81324177
48,14,0,0,1,24.05092979,3.820201782
49,14,0,0,1,21.6571845,1.09276775
50,14,0,0,1,19.37091014,0.901515865
51,14,0,0,1,16.88859871,0.613302389
52,14,0,0,1,15.57916668,1.404374431
53,14,0,0,1,13.52681039,0.939798699
54,14,0,0,1,11.99768093,0.880661324
55,14,0,0,1,10.84000621,0.354386684
56,14,0,0,1,9.251519857,0.223979413
57,14,0,0,1,7.9515406,0.392280439
58,14,0,0,1,6.903194879,0.356667851
59,14,0,0,1,5.962224329,0.318790367
60,14,0,0,1,4.797125107,0.152287885
61,14,0,0,1,4.208325307,0.12646462
62,14,0,0,1,3.681725957,0.115518717
63,14,0,0,1,3.068088107,0.125209985
64,14,0,0,1,2.545036643,0.0639267
65,14,0,0,1,2.177820507,0.043813988
66,14,0,0,1,1.7012245,0.15468559
